musicId,fileName,title,artist,album,genre,genre_grouped,audio_arousal,audio_valence,audio_emotion_quadrant_label,lyrics_emotion_quadrant_label,match_status,emotion_pair,YT id,duration,matched video title,dominant_tempo_variance,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variance,repeated_area_all,repetition_ratio_all,repeated_area_triu,repetition_ratio_triu,key,scale,strength,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,centroid_mean,centroid_std,total_transition,unique_transition,transition_diversity,transition_per_sec,unique_transition_per_sec
49,Bastille - Good Grief,Good Grief,Bastille,Good Grief,Indie Pop,Pop,0.7875,0.7125,Q1,Q3,mismatch,PN,LDY4Bf8Zwn8,206.0,Good Grief,4.690291741527801,0.1392106150905206,632.494483631243,150.26442824298348,65.40639132514966,84.85803691783383,0.0124354120343923,38998907,0.4931236718400625,19495015,0.4930668705399866,Ab,major,0.9000340700149536,-45.709618,96.36201,82.779465,31.679874,-2.0878496,22.517399,22.870039,18.156887,9.634925,17.481455,4.2042913,13.434252,1.6216958,12.425896,7.946635,10.598785,-5.1424613,10.606713,7.383386,8.535566,-0.8804773,8.69242,2.4169238,7.933174,1.3595866,9.443167,2520.506018970944,917.7160496337408,93,17,0.1827956989247312,0.45145631067961167,0.0825242718446602
487,Justin Bieber - . Sorry,. Sorry,Justin Bieber,Purpose (Deluxe),Pop,Pop,0.8,0.775,Q1,Q3,mismatch,PN,v16qZcBllUU,201.0,Sorry,4.893558549977908,0.1453515263644773,509.8889980925256,192.63059450929475,65.40639132514966,127.2242031841451,0.0134699698537588,46613668,0.6232781707587366,23302518,0.6232348179553966,F,minor,0.8650239706039429,-42.491173,88.2994,100.04272,35.50007,4.30416,31.765707,9.787593,19.17062,7.886615,16.538803,-0.13110594,16.264454,-1.3401256,11.2953005,2.267467,13.597833,-1.8928497,11.21957,5.141822,9.663509,1.370004,9.852369,5.290264,9.663752,0.23459464,9.172767,2288.6029040213,889.3141235329678,119,20,0.16806722689075632,0.5920398009950248,0.09950248756218906
681,Meghan Trainor - NO,NO,Meghan Trainor,NO,Pop,Pop,0.8,0.7,Q1,Q2,mismatch,PN,aeRUXtsvraw,214.0,Meghan Trainor - NO (Audio),5.118897003339391,0.1593478260869565,546.1023719163517,363.6381399878532,65.40639132514966,298.2317486627036,0.0177340134978294,56391994,0.6662570179584121,28191400,0.6662208084999788,C#,minor,0.7748816609382629,-41.970314,111.66652,75.20842,32.892982,-8.652726,26.149462,17.290485,19.635286,-1.6834695,17.176666,10.459499,17.34595,4.0276923,13.658394,-0.2761089,12.875717,1.3901323,13.323126,3.6691525,12.561551,-1.0543563,11.141119,0.0006795535,9.426883,-1.9002361,9.900684,2584.178635213059,929.4185411086676,95,30,0.3157894736842105,0.4439252336448598,0.14018691588785046
403,HAIM - Want You Back,Want You Back,HAIM,Want You Back,Indie Pop,Pop,0.7625,0.8125,Q1,Q3,mismatch,PN,jpOySXoFrlg,232.0,HAIM - Want You Back (Audio),2.19426253131398,0.1868307815470829,760.1050166718824,124.18608452867444,65.40639132514966,58.779693203524786,0.0071154148317873,40037957,0.4009406905057697,20013987,0.4008808367618742,C,major,0.8983838558197021,-38.780674,81.516945,103.24412,39.88228,2.9010792,25.366434,22.049274,16.583084,7.958825,13.756472,6.636272,11.852518,2.2033436,10.510946,7.3142824,10.2268305,1.5580473,9.395749,7.5500975,10.136682,-0.5830199,8.435896,5.1846294,8.291889,3.8194768,8.933624,2120.6965400432423,916.1107292123704,90,17,0.18888888888888888,0.3879310344827586,0.07327586206896551
269,Drake - Passionfruit,Passionfruit,Drake,More Life,R&B,Pop,0.5875,0.6375,Q4,Q3,mismatch,PN,COz9lDCFHjw,299.0,Passionfruit,2.7430392663861274,0.0752621359223301,79.10728536148552,102.04250286354404,65.40639132514966,36.636111538394374,0.0127198668196797,111679859,0.6737214606466208,55833506,0.6736962855819888,B,major,0.8154369592666626,-179.9562,107.71932,116.983284,42.18123,37.265778,30.293272,35.29961,15.831802,17.54122,14.522733,17.29084,11.32821,5.0916615,12.121667,10.522029,10.540842,2.7145476,11.228502,6.7174015,9.787747,2.6328416,10.1989975,4.305437,8.042152,1.9802566,8.14806,1429.2692696375732,998.8627411167232,90,30,0.3333333333333333,0.3010033444816054,0.10033444816053512
159,Clean Bandit - Tears (feat. Louisa Johnson),Tears (feat. Louisa Johnson),Clean Bandit,Tears ,Dance Pop,Pop,0.875,0.675,Q1,Q3,mismatch,PN,4KIyrVNVGuQ,230.0,Clean Bandit - Tears (feat. Louisa Johnson),4.811898533384889,0.1834056727566367,589.123943499212,158.2826938011902,65.40639132514966,92.87630247604054,0.0167361255735158,46625737,0.4750522546673057,23307920,0.4749993636559963,F,minor,0.9224374294281006,-72.040146,121.359726,73.88909,36.236305,4.100145,24.065056,10.946933,17.636105,-5.1038685,14.656996,-0.102767505,15.30678,-0.5780075,11.733763,1.5706334,14.333711,-7.2600546,11.6237545,7.121098,12.390924,-9.786573,13.327254,0.96296877,11.539911,-2.0441105,11.282011,2672.4492572184713,1067.2573916232136,116,30,0.25862068965517243,0.5043478260869565,0.13043478260869565
868,The Chainsmokers - Closer,Closer,The Chainsmokers,Closer,EDM Pop,Pop,0.7,0.625,Q1,Q3,mismatch,PN,25ROFXjoaAU,245.0,The Chainsmokers - Closer (Lyrics) ft. Halsey,5.572382239120313,0.1253553155201819,938.9535063256442,460.8094140410758,65.40639132514966,395.4030227159261,0.0140581782907247,47093240,0.4227896928217314,23541347,0.4227350683262575,Ab,major,0.8992006182670593,-62.051373,120.24579,77.23382,47.075512,16.309074,25.931738,8.894967,18.092415,4.1047063,14.377996,1.3105761,12.63768,-3.7386181,12.432559,0.44832745,10.141569,-4.2118206,11.027191,-1.8049836,9.672376,-4.4354854,9.377326,-3.0156872,8.868917,-6.896138,8.815069,2858.941359309967,1214.894220157537,126,14,0.1111111111111111,0.5142857142857142,0.05714285714285714
235,Drake - Too Good,Too Good,Drake,Views,Pop,Pop,0.45,0.7,Q4,Q3,mismatch,PN,1lbKUiZv1fI,264.0,Drake - Too Good ft. Rihanna,4.038922209963179,0.0889397675237759,245.22466696633876,127.82501456536237,65.40639132514966,62.418623240212696,0.0231867060065269,99820240,0.7740479094025859,49904446,0.7740280725362547,D,major,0.873487651348114,-112.07122,110.59508,99.31834,30.271593,16.433739,22.735048,36.552223,21.875046,16.481638,16.136354,16.645151,12.847827,3.8066227,12.880208,11.598998,12.635947,0.38236687,9.730524,7.247065,9.744284,5.5186005,9.04172,4.1296926,8.163953,-0.98908925,6.8482237,1724.5442802714524,780.8790433309572,173,32,0.18497109826589594,0.6553030303030303,0.12121212121212122
114,Camila Cabello - I Have Questions,I Have Questions,Camila Cabello,I Have Questions,Pop,Pop,0.7375,0.7375,Q1,Q3,mismatch,PN,1Goexa_MsJw,221.0,Camila Cabello - I Have Questions (8D AUDIO),0.8595884201092334,0.200546275869314,663.0828243050008,161.0494265540188,65.40639132514966,95.64303522886914,0.0065545449033379,23292247,0.2570565847697619,11641368,0.2569786163950177,Bb,minor,0.8485302329063416,-185.03612,94.548,121.901024,32.08757,2.6629176,22.451742,23.744286,21.69992,-1.9338671,17.78907,15.153908,18.658009,14.53941,15.242284,-2.8675077,15.59515,8.860679,11.635499,-4.1967874,11.185456,-3.7541513,12.39051,-0.39355147,10.3408985,3.8876762,11.469492,1553.751971805612,683.696671683513,136,27,0.19852941176470587,0.6153846153846154,0.12217194570135746
265,Drake - Madiba Riddim,Madiba Riddim,Drake,More Life,Pop,Pop,0.5125,0.675,Q4,Q3,mismatch,PN,ew3GPJt-aDg,205.0,Madiba Riddim - Drake (Audio),2.842409432222168,0.0679633608503901,34.81632394953524,68.89654412432702,65.40639132514966,3.490152799177366,0.0437761768698692,58740071,0.7511647803531747,29365620,0.7511367914124253,D,major,0.8054081797599792,-138.19699,99.738495,108.86794,34.532288,15.323442,30.677265,28.469862,20.800976,0.9232385,16.4012,12.03022,16.401487,-3.543293,12.289194,11.62092,13.130962,-0.010211113,12.951641,6.895343,11.977149,3.3350725,10.50328,3.517252,10.105285,1.7031318,9.462671,1540.6949183205973,874.215877925902,93,29,0.3118279569892473,0.45365853658536587,0.14146341463414633
812,Sabrina Carpenter - Thumbs,Thumbs,Sabrina Carpenter,EVOLution,Pop,Pop,0.8,0.6875,Q1,Q3,mismatch,PN,sPFT0sa9qe4,216.0,Thumbs,3.142986643547908,0.1397768719158978,504.35594961427006,544.8415985660737,65.40639132514966,479.435207240924,0.0209640469402074,43820894,0.5042698889445905,21905789,0.5042167737775105,C,minor,0.9097447991371156,-57.435192,97.13418,82.72115,33.610466,-7.6670895,24.150978,19.080225,19.769438,-0.17255259,14.22673,1.2959586,15.401597,2.2764673,13.947269,-1.7014495,14.660715,5.0836506,11.204547,1.9341236,11.864792,-1.2222428,10.074262,5.5507565,9.928919,2.405234,9.291023,2321.2142921696072,813.3466750866925,68,22,0.3235294117647059,0.3148148148148148,0.10185185185185185
635,Maggie Lindemann - Pretty Girl,Pretty Girl,Maggie Lindemann,Pretty Girl,Pop,Pop,0.6375,0.825,Q4,Q2,mismatch,PN,ugndrqaF9gE,220.0,Maggie Lindemann - Pretty Girl [Official Audio],2.3553439190997336,0.1612698412698412,457.1051261162902,450.28451247858095,65.40639132514966,384.87812115343127,0.0191975031048059,47552680,0.5324899078973153,23771620,0.532440542685013,Bb,major,0.9443414211273192,-40.77955,100.50191,94.8423,28.901888,3.4069183,24.070248,9.799226,18.995234,-6.2964015,17.00558,-1.1162977,13.833146,4.7608895,14.3123455,-10.352803,14.301838,11.175086,11.984957,-3.1275475,12.346588,2.2585704,10.056501,-2.5061765,11.269542,-3.7556734,10.1868,2508.376480808158,817.8328619305673,85,7,0.08235294117647059,0.38636363636363635,0.031818181818181815
568,Lady GaGa - Bad Romance,Bad Romance,Lady GaGa,2010 The Hottest,Pop,Pop,0.975,0.825,Q1,Q2,mismatch,PN,9WNYIA1N4NU,295.0,Lady Gaga - Bad Romance (Audio),2.1051401894854314,0.1434765471028774,821.2279933359943,111.27813843321148,65.40639132514966,45.87174710806181,0.0082828374579548,123608059,0.7681850372469322,61797697,0.7681668853786414,C,major,0.8757851719856262,-18.804075,71.09922,73.328835,23.721334,-6.7971745,20.025124,18.80805,17.555195,4.6804333,14.6157875,14.217331,13.07847,6.06426,10.282632,9.194668,10.067279,0.4053827,11.105427,10.545548,9.518358,0.8934489,9.016526,4.1557193,8.696003,0.31738928,9.13735,2573.7964292637007,565.1013620279152,127,23,0.18110236220472442,0.43050847457627117,0.07796610169491526
17,Adele - Hello,Hello,Adele,Hello,Pop,Pop,0.825,0.675,Q1,Q3,mismatch,PN,4qNRgzHTQsk,292.0,Adele - Hello (Audio),1.4187143079900515,0.1781540663009778,1022.2296092463812,415.304697579945,65.40639132514966,349.89830625479544,0.0192464999854564,50186019,0.3171688389905253,25086728,0.3171146523789969,Ab,major,0.921862542629242,-116.28374,135.58286,115.68203,30.249022,11.127066,25.26651,14.440497,17.197256,9.5097065,11.854579,8.300445,12.858337,1.4567735,9.928441,9.721288,10.685344,1.1614531,9.473752,8.31009,10.178933,-3.5977652,8.906549,-1.6840117,9.201923,-3.2589881,9.665615,1734.3558658266536,807.404885678125,183,14,0.07650273224043716,0.6267123287671232,0.04794520547945205
615,Lorde - Green Light,Green Light,Lorde,Melodrama,Pop,Pop,0.7375,0.675,Q1,Q2,mismatch,PN,zJuygTp7ydE,235.0,Lorde - Green Light (Audio),5.593274325623764,0.1814767223485223,1219.186854379035,135.4258854679408,65.40639132514966,70.01949414279113,0.01558059733361,50574161,0.4941117559524405,25282030,0.4940619035653749,A,major,0.9287588596343994,-90.26498,113.51438,106.127975,37.70858,1.0635425,26.483425,19.635496,18.398111,7.5356517,13.299779,9.279378,12.743319,5.5797143,11.20672,3.5239816,9.905578,4.09171,9.839925,5.455481,9.113342,2.0070832,8.698377,-0.7200349,8.110705,1.4098312,7.5737596,2003.0976383708228,1030.5008166361288,93,15,0.16129032258064516,0.39574468085106385,0.06382978723404255
613,Looking Glass - BRANDY,BRANDY,Looking Glass,Looking Glass,Pop Rock,Pop,0.5875,0.6875,Q4,Q3,mismatch,PN,DVx8L7a3MuE,189.0,Looking Glass - Brandy (You're a Fine Girl) (Official Audio),4.078871016193404,0.1531831055288757,475.2534051336969,290.2917403700367,65.40639132514966,224.88534904488705,0.0046523138880729,55211343,0.837161582705466,27601616,0.8371416803604108,E,major,0.9217599034309388,-97.7051,114.223816,88.515114,38.70232,-0.55533206,22.89973,13.413713,12.151476,-7.6688643,11.999724,9.864129,9.426231,-6.7166114,8.723863,3.0225263,8.277759,-6.1157446,8.360658,2.2932878,7.6999197,-3.5345702,7.669571,-2.353716,7.450417,-3.3659475,7.434714,2524.1031468089473,1022.7263569200136,95,22,0.23157894736842105,0.5026455026455027,0.1164021164021164
48,Band Aid 20 - Do They Know It's Christmas?,Do They Know It's Christmas?,Band Aid 20,Do They Know Its Christmas?,Pop,Pop,0.725,0.8375,Q1,Q3,mismatch,PN,GZU87paOlpE,306.0,Do They Know It's Christmas? (2004 Version),4.352596786510726,0.1645261798008967,1183.5779896083077,219.99999999999997,65.40639132514966,154.59360867485032,0.0059268064796924,89608177,0.5174898883993403,44797522,0.5174533680864074,C,major,0.959327220916748,-58.058353,98.26719,92.15736,39.70513,-9.4682665,18.729836,17.51451,16.687328,3.2208467,14.324887,7.0748954,9.721362,-0.7932827,9.643448,0.47378296,8.834421,-1.269739,8.2777,5.33382,9.1103115,-0.16055271,7.563022,1.6596367,7.860408,-3.3757496,7.277244,2396.9249211578913,937.5982621891816,105,26,0.24761904761904763,0.3431372549019608,0.08496732026143791
127,Charlie Puth - Attention,Attention,Charlie Puth,Attention,Pop,Pop,0.8125,0.825,Q1,Q2,mismatch,PN,vxUBYHz_q1I,211.0,Attention,3.630406524020073,0.1217610891523935,336.8950620659247,415.304697579945,65.40639132514966,349.89830625479544,0.0239320360124111,38743984,0.4670444684765588,19367444,0.4669860916226588,C#,major,0.8499503135681152,-96.837715,121.02105,84.657936,40.264675,19.742954,22.047873,14.011832,19.189247,9.163947,14.640207,4.207237,13.445375,3.7041886,11.340758,-1.1265756,11.617754,-1.956424,9.900706,0.10486887,10.100013,-4.758854,9.645888,-1.9915167,9.128672,-8.64186,9.183183,2430.88788496673,1110.9891039109864,100,29,0.29,0.47393364928909953,0.13744075829383887
726,Nick Jonas - Jealous,Jealous,Nick Jonas,Nick Jonas,Pop,Pop,0.7375,0.7125,Q1,Q2,mismatch,PN,cQw2qIl838Q,223.0,Nick Jonas - Jealous (Audio),3.717209604730795,0.1814861198079732,601.5893193340102,102.6336290690488,65.40639132514966,37.22723774389915,0.0113916201516985,69985720,0.7622494187315751,34988072,0.7622246692892213,D,major,0.8263298869132996,-40.955498,105.49599,66.14125,30.758183,2.0436628,22.835766,21.143627,18.035883,1.6181693,14.216876,14.392054,12.263044,0.7472763,11.746246,10.625836,11.377776,-0.9433831,11.379127,11.944498,10.374438,0.21576546,9.108128,5.741976,9.262634,2.122785,9.745565,2826.9326676629876,918.593775472924,87,19,0.21839080459770116,0.3901345291479821,0.08520179372197309
19,Adele - Water Under The Bridge,Water Under The Bridge,Adele,25,Pop,Pop,0.7625,0.75,Q1,Q3,mismatch,PN,hJgRIKMssQY,238.0,Adele - Water Under The Bridge (Audio),4.831712325511418,0.157530238002341,962.283893484655,117.21605517913326,65.40639132514966,51.80966385398361,0.0043006329797208,93669316,0.8912102112218827,46829537,0.8911996937729171,Eb,major,0.8431861996650696,-49.814884,85.417816,105.53239,35.82995,6.0942245,17.927639,23.781807,14.668556,14.416689,12.25477,6.2579255,13.201438,4.6317606,9.878951,9.409986,9.730921,2.6013384,10.4079,8.630644,9.580266,0.8877576,8.133497,5.430757,7.3409505,-3.104878,7.8154655,2029.1314250191065,747.2922676654287,110,17,0.15454545454545454,0.46218487394957986,0.07142857142857142
833,"Shawn Mendes - Stitches(From ""Dance Camp"" Original Motion Picture Soundtrack)","Stitches(From ""Dance Camp"" Original Motion Picture Soundtrack)",Shawn Mendes,Dance Camp (Original Motion Picture Soundtrack),Pop,Pop,0.8,0.7,Q1,Q2,mismatch,PN,UYCg6NBiXMI,207.0,Shawn Mendes - Stitches (Lyrics),3.557991925929197,0.0874747020463233,141.4459996048708,153.77669275969214,65.40639132514966,88.37030143454248,0.013967334292829,40693222,0.5144318242555842,20342170,0.5143773748064052,C#,major,0.8506084084510803,-94.14835,114.12878,87.833595,31.115496,-7.4419413,21.873339,32.41799,19.641787,16.142555,13.958987,8.28577,14.447263,3.6115637,11.262038,7.5873594,10.272704,3.7360628,9.697308,3.7320056,10.262598,5.574176,8.55455,3.3647215,8.987201,-3.0973396,8.364696,2173.210273791859,888.4349824708182,115,29,0.25217391304347825,0.5555555555555556,0.14009661835748793
455,Jennifer Lopez - Ain't Your Mama,Ain't Your Mama,Jennifer Lopez,Ain't Your Mama,Pop,Pop,0.875,0.7375,Q1,Q2,mismatch,PN,UrGoD4sAXgk,215.0,Jennifer Lopez - Ain't Your Mama (Lyrics),4.152731440086618,0.0902206836867157,388.7570846239674,378.6426323875051,65.40639132514966,313.2362410623555,0.0187547653913497,39931558,0.4673006462985054,19961165,0.4672432008261201,B,major,0.8738669157028198,-63.89903,90.99066,81.56907,30.2984,-5.3109574,25.196232,14.845172,22.744177,-4.7069507,18.08441,-4.3334904,19.10964,3.8253808,15.111999,-7.0806146,15.728812,-3.5371196,12.630786,5.2964563,12.958306,-8.237329,12.03605,2.3676045,10.6000805,-3.9505005,10.7065935,2385.580787850033,796.121718987223,157,18,0.11464968152866242,0.7302325581395349,0.08372093023255814
